-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
nura,"Ne plia ol, ne alia ol, tute apartenanta al unu speco, unukaraktera, simpla , pura : tio estas a eraro (nenio alia ol eraro); tio estas a hazardo (ne pli ol hazardo); la a bleko de leono timigas ĉiujn bestojn; ĉu ĝi servus por io alia, ol por a incensado MT II. Kroniko 2:6 ? lia a alproksimiĝo kompromitis virinon Marta, p. 168a; la aŭtoro sukcesis jam en la an titolon enŝovi 6 nulojn Raymond Schwartz La Stranga Butiko P. P. P. aŭ Por Plenigi Paĝojn !"
nurnura,"Vere a, sen io kroma: tiu ĉi triopo estas aj amikoj, kiujn la komunumestro havas E. Kumičić, trad. S. Rukelj, Surprizitaj nuptofestantoj, inko, 2001 ."
ununura,"Unika: ŝia unua filo; ekzistas unua Dio, rekonata kaj adorata de ĉiuj religioj V. K. Barandovská-Frank, Komenio kaj internacia lingvo, Internacia Seminario pri Komenio, Prelegaro. ‐ Prago: ĈEA, 1992 . unua kaj perfekte komuna lingvo prezentas, laŭ Komenio, plej bonan solvon de homaj problemoj Giordano Formizzi, Filozofio kaj teologio en la verkoj de J.A. Komenský, Internacia Seminario pri Komenio, Prelegaro. - Prago: ĈEA, 1992. estas io sklaveca, humiliga en tio […] ke la unua penso, estu ĝi eĉ treege grava, elpremis el li ĉiujn aliajn, ŝirmis la vivajn kolorojn kaj sonojn de la mondo V. N. Tretjakov, Konsiloj al la enlumiĝinto, Survoje ."
"Nurenbergo, Nurenbergo","Bavara urbo, situanta mezvoje inter Erfurto kaj Munkeno (11°05’E, 49°26’N): la a klubo de instruistoj FK ; a butikisto nun volvas vin ĉirkaŭ kuko Rabistoj Akto Unua ; li atingis la ĉarmegan urbon on Fab3 Sub la saliko ; anoj pendigas neniun antaŭ ol ili lin havas Rabistoj Akto Dua ; la tiamaj procesoj kontraŭ milit-krimuloj en o Monato Stefan Maul Postmilite ; pri la unua Esperanto-grupo el la tempoj, kiam ĝi estis ankoraŭ volapukista, raportas germanlingva artikolo de Markus Sikosek, ĉerpinta elementojn el la urba arkivo de o Monato Carlo Minnaja Esperantologio reaperas ."
"Astano, Astano","La ĉefurbo de Kazaĥujo, nomita post 1998 o, sed inter 2019 kaj 2022, honore al la prezidanto, o: Ĉina prezidanto Xi Jinping ĵaŭde vizitis la ĉinan nacian pavilonon de la Monda Ekspozicio de 2017 en o Prezidanto Xi vizitis ĉinan pavilonon de Monda Ekspozicio china radio international ; o, antaŭe konata sub la nomo o, Akmolo, Celinogrado kaj Akmolinsko Nursultano – Vikipedio ; la 21-an de septembro 2019 en la ĉefurbo de Kazaĥio o kaj la urbo Almato okazis manifestacioj Protestoj en Kazaĥio - kontraŭ la ĉinoj kaj por demokratio ... ; kiel lernantino en Celinogrado (nun o) mi vizitis klubon de internacia amikeco en la urba pionirpalaco Hobio, kiu iĝis profesio ... La Ondo de Esperanto ."
nutri,"Doni al vivulo la manĝaĵon necesan por subteni la forton kaj daŭrigi la vivon: i infanon, ĉevalon, fiŝojn; estas sufiĉe da […] lakto por i vin […] kaj por subteni la vivon de viaj servantinoj MT, 27:27; Francio facile povas […] i dekoble sian propran loĝantaron Monato Reen al la edena paradizo ; la tero as la vegetaĵojn; sin i per la grajnoj de lotuso Far1 Ĉapitro XII ; FIG i la fajron MortulŜip Ĉapitro 46 ; tüzet táplál alimentar o fogo FIG la buŝo de malsaĝuloj as sin per malsaĝeco MT Sentencoj 15:14 ; FIG i per promesoj PrV . ígéretekkel etet"
nutro,"Ago i aŭ sin nutri. Rezulto de la ago: kiu povis nur ĉe ŝia brusto serĉi ripozon, de ŝia buŝo postuli kareson, el ŝia mano atendi on Marta; portu al ni donojn riĉajn, por ke on havu la homgento -, trad. K. Kalocsay, Rig-Veda, Himno, Nica Literatura Revuo, 3/6, p. 218 !"
nutra,"Povanta i: lakto estas pli a, ol vino F, 10."
nutraĵo,"Tio, kio servas por i: Li donas al la bruto ĝian aĵon MT, 147:9."
nutrejo,"Loko por ado: provizejoj kaj ejoj estas apartigitaj FK, la loĝejoj de la termitoj ."
nutristino,"Vartistino, kiu mamas aŭ prizorgas bebojn: kial vi ne prenas oficon de istino? FK, 3, anekdotoj."
mamnutri,"i per mamo: ŝi gravediĝis, naskis kaj mamis KPr Ĉapitro Tria ; mamantaj kameloj kun iliaj idoj MT Genezo 32:15 ; kiam mi estis infaneto, oni min metis en mamejon ChL Ĉapitro Sesa ."
"mamnutro, nutrado",Ago mami: Lidia volas lin dekutimigi de la mamado VRA Moa Martinson .
mamnutristino,"Virino regule mamanta fremdan bebon (precipe pro dungo aŭ alia komisio): Lina konas lin de ĉiam: ŝi estis lia mamistino R. Schwartz, Ĉe l' entombigo de l' povra Aleksandro, Nica Literatura Revuo, 1:4 ; FIG Aŭskultu do, Azio, mamistino nia, Afriko sfinkse muta, tribar' Oceania […] N. Ĥoĥlov, Eŭropo, La Tajdo, 1928 ."
misnutrado,"Stato de tiu, kies dieto malhavas iujn necesajn dieterojn: kvarono el la malpli ol 5jaraj infanoj en Senegalio suferas misadon D. Durand, Malsata ventro ne havas orelojn, Monda Solidareco, 2008-07 (97) ."
subnutrado,"Stato de tiu, kiu ne ricevadas sufiĉajn manĝaĵojn: subado estas la sorto de milionoj, kaj leviĝas la demando, ĉu la terglobo povos nutri sian plinombriĝantan loĝantaron W. F. Rolt, El la Polvo de la Tero, 1967."
-o,"Finaĵo (lingvoscience: sufikso) markanta la vorton kiel substantivon: la finiĝo signifas nur simple substantivon, nenion pli LR 1. Vortfarado ."
o,"La deknaŭa litero de la Esperanta alfabeto la o devas esti parolata meze-longe LR , uzata i.a. kiel:"
oazo,"Izola loko kvazaŭinsula meze en seka dezerto, kovrita de vegetaĵoj pro ekzisto de fontoj: la oj de Saharo; de tiu tago ĉiuj bonaj mahometanoj fumas la foliojn de tiu herbo mirinda kaj benita de Allah, plantas ĝin en la oj kaj flaras ĝian odoron FK ; tie estis la ĉefa bazaro, kien oni alportis la komercaĵojn el la oj, dissemitaj en la dezerto Far3, ĉapitro 8a."
impostoazo,"Impostparadizo: milionoj da usonaj dolaroj ripozas sekure en bankoj de impostoj Ĝangalo, Usona milito kontraŭ terorismo..., 2003-09-09 ."
Obo,"Rivero en la Okcidenta Siberio, naskiĝanta el kunfluo de la Altajaj riveroj Katuno kaj Bijo, kaj fluanta en la Karaan Maron: Irtiŝo estas granda kaj longa rivero en Siberio, maldekstra alfluanto de o Viki Irtiŝo ."
Oba Golfo,"Golfo en la Karaa Maro, kiun formas la elfluejo de o."
obei,"Konformiĝi je tio, kion alia persono ordonas aŭ malpermesas; konformiĝi al regulo: la ŝipanoj devas i la ŝipestron F 37 ; vi ne is mian konsilon ElektFab La ora birdo ; [civitano] devas i ĉiam nur klarajn, tute difinitajn fundamentajn leĝojn F Antaŭparolo ; Jakob is sian patron kaj sian patrinon kaj iris Mezopotamion MT Genezo 28:7 ; vi is la (tentan) voĉon de via edzino MT Genezo 3:17 ; mi e sekvis ŝiajn petojn, sugestojn kaj ideojn Kon11 Tiel la mondo... ; Jozef […] ne volis i ŝin kaj kuŝiĝi kun ŝi kaj esti kun ŝi MT Genezo 39:10 ; ni ne os al vi MT Jeremia 44:16 ; la pastroj is al la fido NT La agoj 6:7 ; se via interna sento ion diras kontraŭ tio ĉi, tiam u al ĝi Hamlet Hamleto ; la ĉevalo is lin […] kaj iris la ĝustan vojon ElektFab Fingreto ; li devis i la sorton kaj pacience sekvi ElektFab Paŝtistino de anseroj apud puto ; i unu el tiuj hontemaj kaj delikategaj sentoj, kiuj povas ĝermi en solaj superaj animoj ChL Ĉapitro Dua ; en la lingvo internacia ni devas i (observi) sole nur la logikon LR Dua Parto – Gramatiko ; respektu Dion kaj reĝon kaj u la leĝon PrV ; feliĉo leĝon ne as, subite naskiĝas, subite pereas PrV ; deziro kaj inklino ordonon ne as PrV ."
obeado,"Plenumo de ies volo: [li] mokas la patron kaj malŝatas adon al la patrino MT Sentencoj 30:17 ; ŝuldata ado Hamlet Hamleto ; ĵuru al mi fidelecon kaj adon ĝis la morto Rabistoj Akto Unua ! silenta ado Ifigenio Ifigenio en Taŭrido ; homoj fleksemaj kaj kutimantaj al sklava ado QuV Ĉapitro XVI ; li memoras la adon de vi ĉiuj, kiel kun timo kaj tremo vi lin akceptis NT II. Korintanoj 7:15 ."
obeema,"Facile aganta laŭ ordonoj: se vi estos humilaj kaj emaj, vi manĝos [bone] MT Jesaja 1:19 ; kvankam vi estis la sklavoj de peko, vi tamen fariĝis kore emaj al tiu tipo de instruado NT Romanoj 6:17 ; li sin humiligis kaj fariĝis ema ĝis morto NT Filipianoj 2:8 ; ŝi venkis sian maldiligentecon: estis laborema kaj ema ElektFab La maljunulino Holle ; mi estas via ema servanto GDn Akto Tria ; ĝi […] kaŭris antaŭ la knabino kiel ema hundido E. R. Burroughs, trad. K. R. C. Sturmer, Princino de Marso, 1938 ."
obeigi,"Igi anta: mi konas rimedojn por min igi KPr Ĉapitro Unua ; li havis ekskuan tonon de supera viro, kiu scias komandi kaj sin igi KPr Ĉapitro Tria ; amo ne estas ja la plej granda ĝojo kaj oni ne devas igi al la amo ĉiujn ceterajn sentojn Metrop ; oni igas tiun leĝon per armiloj Rsp Parto Ok ; li igas al si la ceterajn kaj devigas ilin al ĉiam pli danĝeraj ludoj LOdE 2003, № 2 (100) ."
malobei,"Kontraŭstari la ordonon de alia persono aŭ regulon: eĉ ne pensu mali la cezaron QuV Ĉapitro VII ; kelkaj obstiniĝis kaj malis NT La agoj 19:9 ; mali la leĝojn Far1 Ĉapitro XI ; vi malas al la universala saĝo Kandid Ĉapitro V ; vi malis la regularon, […] mi konas nur miajn instrukciojn ChL Ĉapitro Kvara ; ŝi ne kuraĝos mali sian patron KPr Ĉapitro Dekkvina ; mi malas la ordonon de mia devo KPr Ĉapitro Kvara ; vi malis viajn karajn principojn mensogante CKv 12 ."
malobeema,"Kiu ne elmontras on, ne facile submetiĝas, spitema: malema tono DOz, la proceso kontraŭ la katido Heŭreka; mi konas vian malemecon kaj vian malmolan nukon MT Readmono 31:27 ; FIG ŝiaj malemaj haroj ne volis glate kuŝi IK Ĉaptiro III ; FIG [li] pene provas traŝovi maleman kudrilon tra dika ledo Metrop ; vi estis malemaj kontraŭ la Eternulo MT Readmono 9:7 ."
obee al,"Laŭ regulo de...; konforme al: e al la dia ordono Monato Donald Broadribb Mezepoka nederlanda kavalirromano 2012 ; la trupo […] e al la ordono de la ĉefo, enviciĝas kaj ekmarŝas laŭ la herba deklivo J. Francis, La Granda Kaldrono, 1978 ."
obelisko,"Monumento, ofte kiel monolito, en formo de mallarĝiĝanta alta kolono kun piradforma pinto: oni venas sur grandan placon, meze de ĝi staras o, kiu havas la aĝon de pli-malpli kvar mil jaroj Fab4 Bela ; en la fino de la aleo […] staris du oj, t. e. maldikaj kaj altaj kvarangulaj kolonoj el granito, sur kiuj estis skribita la historio de l' faraono Seti Far3, ĉapitro 8a; la plej impona konstruaĵo de Šiluva, simila al o, estas la kapelo de la Apero Monato Laimius Stražnickas Kie unue aperis la Sankta Virgulino? 2004 ."
obeza,"Tro dika: unu el liaj samtempuloj skribis: mi ekvidis […] homon grandan, an, kun alte levitaj ŝultroj V. Kotiĥov, trad. -, En ombro..., Art-mozaiko, 2002-11-29, numero 7a ."
"obezo, obezeco","Trodikeco: lastatempe lia ĝena kaj absurda o, kiu jam ne permesis al li laĉi al si la ŝuojn, kaj la trosatigo de ĉiaj apetitoj, komencis acidigi lian karakteron G. García Márquez, trad. F. de Diego, Cent Jaroj da Soleco, Fonto, 1992; kuracado de diabeto, eco, metabolismo Monato Julius Hauser Topinamburo ĉu herbaĉo? 2012 ; la 22a de majo estas la eŭropa tago de eco Monato Julius Hauser Ĉu kronika malsano? 2013 ."
obio,"Japana zono por formalaj okazoj, el larĝa tuko, kiun oni vindas dufoje ĉirkaŭ sia talio kaj bante nodas ĉe la dorso: la o estas tiel surmetita, ke la desegnaĵo montras sin ĝuste sidanta sur la nodego EncJap, artikolo obio, p. 126a."
objekto,"Ĉio, kio estas videbla, tuŝebla, perceptebla per sentumoj; aĵo: sur la tablo kuŝas diversaj oj; ŝi prenis siajn ruĝajn ŝuojn, la plej karan on, kiun ŝi posedis Fab2 Neĝa reĝino; domoj (mebloj) MT 13:8; valoron de o ni ekkonas post difekto PrV; en ĉiu o troviĝas difekto PrV; la artikolo la estas uzata […] kiam ni parolas pri personoj aŭ oj konataj F 27; aliaj portis similan aron en grandaj pakaĵoj sur la dorso Michael Ende, trad. Wolfram Diestel La Senĉesa Rakonto La Urbo de Imperiestroj ; neidentigita fluganta o (vd nifo) Monato Gilbert Ledon Kvina povo ."
objekta,"En la formo de o, t.e. perceptebla ktp: la premioj estis monaj kaj aj (pokaloj) Monato Saliko Glaciskulptado ."
celobjekto,"o, kiun celas atako : oni nur malofte aŭdis kritikon kontraŭ bombardoj de ne-militistaj celoj dum la dua mondmilito Monato Werner Schad Al pli justa mondo ; la kutima, fiksa telefonservo estas celo de plendoj Monato Alberto García Fumero Servo alternative fiksita 2009 ."
"instruobjekto, lernobjekto","Temo, kiu estas instruata en lernejo ktp; lernaĵo: fakultativa instruo EeP Unua Parto ; la Ministerio permesis instrui Esperanton kiel nedevigan lernon EeP Kvara Parto ; por aliaj lernoj li neniel havis la saman intereson InfanTorent2 Unua Parto ."
"studobjekto, objekto de studo VdE","o studata en kurso, por diplomlaboro aŭ difinita kiel longatempa esplorindaĵo: oni parolas pri amata o de studado Marta; mi oficiale instruis Esperanton en MASI/MGIU kiel devigan studon por studentoj de diversaj teknikaj fakoj I. Gonĉarova, MASI 20-jara. Bela juna aĝo!, La Balta Ondo, 2015-07-06 ."
ŝercobjekto,"o, kiu celas amuzi per surprizo, trompeto k.a.: du migraj komizoj, kiuj vendas ŝercojn KrB En fremdan vazon ne ŝovu la nazon ."
"akuzativa objekto, rekta objekto","Objekto artikoloj diverse longaj […], kiuj parolas i.a. pri etimologio, leksiko […], refleksivo, rekta o, transitiveco, vortordo Monato Antonio Valén Klero kaj klaro delektos la leganton ."
objektiva,"Bazita sur senpartia esploro, sendependa de individuaj plaĉoj; malsubjektiva: tiuj ĉi tiel diversaspecaj plendoj tute ne trovas sin en difinita interrilato al la a stato FK Fundamenta Krestomatio de la lingvo Esperanto ; ĉe la kronika kataro de la konjunktivo la e trovataj ŝanĝoj estas entute malmulte signifaj FK Fundamenta Krestomatio de la lingvo Esperanto ; mi dubas, ke ĉiuj malfacilaĵoj, kiujn renkontas la sovetia proletaro, estas sekvo nur de l’ aj kaŭzoj Metrop ; ni volas esti science aj ChV 14 ; tiuj malfacilaĵoj fariĝas aj obstakloj EeP Tria Parto ; por korekta kompreno kaj a taksado de la pozicio de Esperanto en la kadroj de tiu ĉi ĝenerala lingvoevoluo, la menciitaj faktoj havas unuarangan signifon Ret Unua Parto ; mi en mia priskribo ĉiam klopodis persisti al la severe aj faktoj VaK Unua Ĉapitro ; ŝia abomeninda a certeco min ekstreme kolerigis VaK Sepa Ĉapitro ."
objektiveco,"Karaktero de io a: li demandis kun eco preskaŭ kortuŝa, al kiu […] humileco ne mankis ChB 30 ; [tion] ŝi diris per la sama indiferenta eco, krom kiu alian mi ne aŭdis ĉi tie VaK Sepa Ĉapitro ; tiun penson li nepre forpuŝu, se li volas ne fuŝi la econ necesan ChC 1 ."
objektivo,"Parto de fotografilo, konsistanta el unu aŭ pluraj muntitaj lensoj, kiujn devas trapasi la lumaj radioj antaŭ ol penetri en la malluman kameron: de 500-mm-a spegulo plus fokusdistanca duobligilo ĝis fiŝokula o Pejno S., La lernemulo, Monato, jaro 1999a, numero 6a, p. 23a ; triobliga optika zomo Monato Kapti la malgrandajn momentojn 2007 ; trueto funkcias kiel primitiva o, ju pli eta estas ĝia diametro, des pli fokusita estas la bildo Monato Julius Hauser Rivelita: la movado de la suno 2012 ."
obĵeti,"Kontraŭparoli, kontraŭargumenti kontraŭ iu faro, kontraŭ iu decido, provante ĝin bari: mi tamen ne as, ke ankaŭ la mallogika senco […] estu registrita S. Pokrovskij, malvarma sango, revuloj 2007-03-15 ; nu, vi is ke neniu povus malakcepti tion kion mi diris Rsp Parto Ses ; pri tio vi eraras, mi is Rsp Parto Naŭ ; tamen, tamen! – subite per severa voĉo is de ie […] Ivano MkM 11 ."
obĵeto,"Kontraŭparolo, kontraŭargumentado: viajn ojn mi malakceptas MkM 25 ; la opozicio havis plurajn pravajn ojn, el kiuj kelkaj eniris la definitivan reformon Stefan Maul Majstroverko, sed nur taktika Monato 2000/10, p. 8 ; pli serioza estas la o laŭ kiu la homaro ne kapablus, laŭ kvalita vidpunkto, funkciigi anarĥian socion S. Dagerman, trad. Phil, La anarĥiismo kaj mi, [vidita en 2007-07] ."
-obl,"Sufikso signifanta, ke la priparolata objekto enhavas ĝuste ian kvanton tiomfoje, kiom montras la radiko: dudek estas la kvaro de kvin; sepe tri estas dudek unu; sepdek-sepe MT Genezo 4:24 ; ili kolektis due da pano MT Eliro 16:22 ; due pli ol ĉio, kion li havis antaŭe MT Ijob 42:10 ; [li] havis en tiu jaro cente-mezuran rikolton MT Genezo 26:12 ; Mi punos vin sepe pro viaj pekoj MT Levidoj 26:28 ; bruis la loĝantaro de la granda urbo […] kaj kune kun ĝi naĝis en la spacon milaj fluoj da homaj pensoj Marta ; mia laboro valoras kelke pli, ol kiom vi donas al mi por ĝi Marta ; la nivelo de la kancerofara radon-gaso du- ĝis tri-iĝis Monato Bardhyl Selimi Riĉa tero, malriĉa popolo 2011 ; dum la pasintaj dek jaroj la importo 2,4-iĝis Monato Hori Jasuo Veneno frostigita 2008 ."
multobla,Multega: la multa saĝeco de Dio NT Efesanoj 3:10 .
multobligi,"Multigi: multigi la eksperimentojn, la provojn; ĉio estas pro vi, por ke la graco, multigita per multaj, abundigu la dankon al la gloro de Dio NT II. Korintanoj 4:15 ; necesas nuligi kelkajn festojn anstataŭ multigi ilin, ĉar dum ĉi tiu festo nur 10 % de la loĝantoj festas, kaj la aliaj restas hejme, sen fari ion Monato Jérémie Sabiyumva Fino de ramadano: ĉu festo de gejunuloj? ; hodiaŭ oni parolas ankaŭ pri la Interreto de Objektoj”, kiam la nombro de objektoj” konektitaj al Interreto – fridujoj, panrostiloj, unuopaj lumoj, ... – vaste superos la nombron de homoj, evidente ankaŭ tio povus multigi la disponatajn datenojn Monato Lenio Marobin La Granda Datumaro ."
plurobla,"(p.p. punkto aŭ polinoma radiko) Tia, ke ĝia eco superas unu."
oble,Tiomfoje multiplikite; kelke; tre multe pli: salajroj en Barato e malsuperas tiujn en Britio Monato Paul GUBBINS Ĉe-telefone ... kiu? 2004 ; [ili] montriĝis e pli malstulta ol en la pasinteco Monato Paul Gubbins Malstulta sezono 2011 .
oblo,"Produto de donita entjero, multiplikita per alia entjero: la paraj nombroj estas oj de 2."
obligi,Multipliki nombron per entjero: igante 3 per 5 oni ricevas 15.
obliĝi,"Multiĝi je faktoro; tre plimultiĝi: kvankam ilia kvanto multe pligrandiĝis, tamen ili ne iĝis tiel are kiel [en idealaj] kondiĉoj KPr Ĉapitro Kvara ; la krimoj iĝis laŭ kapturna skalo, la malliberejoj fariĝis troloĝataj Kiso La Pluveto ."
n-obla,"(p.p. radiko a de polinomo P) Tia, ke n estas la plej granda potenco, por kiu (X-a·1)n divizoras en P: X2-1 akceptas du unuajn radikojn; 1 estas dua radiko de X2-2·X+1."
obleco,"(de punkto aŭ polinoma radiko) Tia entjero n, ke la punkto aŭ la radiko estas n-a: la sumo de la eco de ĉiuj radikoj de kompleksa polinomo egalas al ties grado."
plej malgranda komuna oblo,"(de pluraj entjeroj) la plej malgranda komuna o de 14, 20, 30 estas 420."
oblato,"Speco de hostio el nefermentinta panpasto, uzata de romkatolikoj, armenoj kaj pliparto da protestantaj konfesioj."
obligacio,"Valorpapero, eldonata de ŝtato aŭ privata kompanio, kiel signo de parto el pruntedonitaj kapitaloj, naskanta fiksan rentumon kaj amortizebla en difinita limtempo: por la A-akcioj, fondusoj kaj oj estas minimuma intertempo inter vendo kaj aĉetoHuang Tingsheng: La ĉina bilomerkato, Monatojaro 2001a, numero 8a, p. 10a."
oblikva,"Kliniĝanta for de la vertikala direkto: la subiranta suno verŝis siajn ajn radiojn [sur la herbon] IK ; la cerambiko longe staris silente [tiam] furr! ĝi subite per a svingiĝo saltis rekte sur la bruston Fab2 Konkurso de saltado ; [lia] staturo havis strangan, an tenon VRA ; feliĉe […] la fendego estis a, mia falo aliformiĝis en sinsekvon da apartigitaj faloj ChL ."
